repo,doc_touch_total,reactive_count,proactive_count,reactive_rate,proactive_rate,top_patterns,reactive_examples
WordPress,4,3,1,0.75,0.25,"issue_number(3), fixes_issue(2), references_issue(1)","Docs: Second pass at replacing Codex URLs with a corresponding HelpHub or DevHub article.  Follow-up to [45674-45677].   | Docs: Use a canonical form of ""knowledgeable"" in `readme.html`.  Props shahinsid07, audrasjb. Fixes #52125. Built from h | PHP: Bump the recommended version of PHP to 7.4.  This brings the recommendations in `readme.html` inline with those on "
airflow,221,221,0,1.0,0.0,"issue_number(221), fix_with_error_term(14), closes_issue(5)",Check synctatic correctness for code-snippets (#16005)  * Check syntactic correctness for code-snippets  * fixup! Check  | Improve compatibility with mssql (#9973)  This PR adds full support for MsSQL! YAY! | Add Badge for Artifact Hub (#15958)  We just published our Helm Chart on Artifact Hub: https://artifacthub.io/packages/h
angular,159,77,82,0.4843,0.5157,"issue_number(77), closes_issue(54), fixes_issue(2)",docs: cherry pick release notes for 12.0.2 to main (#42390)  PR Close #42390 | release: cut the v12.1.0-next.3 release (#42360) | release: cut the v12.1.0-next.2 release (#42178)
animate.css,6,2,4,0.3333,0.6667,"issue_number(2), fix_with_error_term(1)","fixed typo, the word 'familiar' spelled incorrectly (#1279)  * fixed typo, the word 'familiar' spelled incorrectly  * fi | Small README Fixes (#1120)  * 🎨 Update .gitignore file  * 🐛 Fix open graph errors  * Fix markdown problems  * Update bad"
ansible,8,8,0,1.0,0.0,issue_number(8),tiny grammatical edit (#73339) | update PyPI badge to ansible-core (#72813) | update devel build badge for AZP (#72807)
ant-design,139,73,66,0.5252,0.4748,"issue_number(70), fix_with_error_term(11), closes_issue(1)",docs: Add missing changelog (#30656)  * add new changelog  * Update CHANGELOG.en-US.md  Co-authored-by: afc163 <afc163@g | docs: add 4.16.0 changelog (#30644)  * docs: add 4.15.7  * Update CHANGELOG.en-US.md  Co-authored-by: Tom Xu <ycxzhkx@gm | docs(:sparkles:): release 4.15.6 (#30562)
ardupilot,9,0,9,0.0,1.0,,
aspnetcore,9,9,0,1.0,0.0,issue_number(9),chore (Badge) : Added .NET foundation badge (#32846)  1. Found the .NET foundation badge at https://img.shields.io/badge | Suggest customers to upvote existing issues rather than file a new one (#32070)  * Added a note to ask contributors to u | Update CONTRIBUTING.md (#31371)  Removed tab that seemed to cause a paragraph about the new help wanted label to be in a
axios,18,15,3,0.8333,0.1667,"issue_number(15), fix_with_error_term(2), github_issue_url(1)","Add explanation of cancel token (#3803)  Thanks to @socketpair for testing and checking this. | Adding isAxiosError typeguard documentation (#3767)  Co-authored-by: Jay <jasonsaayman@gmail.com> | JSON improvements: throw if JSON parsing failed; number, boolean can be passed directly as payload for encoding to JSON "
azure-quickstart-templates,4,1,3,0.25,0.75,fix_with_error_term(1),Update README.md  Fix broken test/README.md hyperlink
bitcoin,13,5,8,0.3846,0.6154,"issue_number(5), fix_with_error_term(2)",Squashed 'src/secp256k1/' changes from 3967d96bf1..efad3506a8  efad3506a8 Merge #906: Use modified divsteps with initial | Squashed 'src/crc32c/' changes from 224988680f..b5ef9be675  b5ef9be675 Merge #1: Merge changes from upstream 9e7f512430  | Squashed 'src/secp256k1/' changes from c6b6b8f1bb..3967d96bf1  3967d96bf1 Merge #838: Make autotools check for all the u
bootstrap,31,23,8,0.7419,0.2581,"issue_number(22), revert(1), fixes_issue(1)",Release v5.0.1 (#33972)  * Bump version to 5.0.1.  * Dist | Update README.md for v5 (#33891) | Release v5.0.0 (#33647)  * Bump version to 5.0.0  * Fix npm tag  * Dist
core,8,8,0,1.0,0.0,issue_number(8),Remove example entry from PR template (#49842) | Update README.rst to avoid redirects (#44519) | Make PR search link not show changes requested PRs (#41278)
d3,2,0,2,0.0,1.0,,
darknet,10,0,10,0.0,1.0,,
django,34,29,5,0.8529,0.1471,"fixes_issue(29), issue_number(29), fix_with_error_term(2)",Fixed #32772 -- Made database cache count size once per set. | Fixed #32734 -- Fixed validation of startapp's directory with trailing slash.  Regression in fc9566d42daf28cdaa25a5db1b5 | Fixed #32681 -- Fixed VariableDoesNotExist when rendering some admin template.  Regression in 84609b3205905097d7d3038d32
dotfiles,2,1,1,0.5,0.5,issue_number(1),readme: fix link to lri’s old notes  Issue: #943
dubbo,2,1,1,0.5,0.5,"issue_number(1), fix_with_error_term(1)",fix typo in sample section for readme file (#6251)  * readme fix  * readme fix  * polish  Co-authored-by: Huang YunKun <
echarts,10,4,6,0.4,0.6,issue_number(4),fix file names in license (#14456) | doc: remove incubating #14003 | doc: update repo name as TLP (#14005)
elasticsearch,26,20,6,0.7692,0.2308,"issue_number(20), fix_with_error_term(1)","Add some notes on javadoc to CONTRIBUTING (#71924)  I've been writing a bunch of javadoc lately and have some opinions t | [DOCS] Refactor quick start guide and README (#71331)  Changes:  * Refactors the ""Getting Started"" content down to one p | [DOCS] Add more run options to README (#70607)  Co-authored-by: James Rodewig <40268737+jrodewig@users.noreply.github.co"
electron,12,12,0,1.0,0.0,"issue_number(12), fix_with_error_term(2)","docs: update ""list"" of docs languages in readme.md file (#29073) | chore: update copyright headers (#27697)  Per discussions with the Foundation, we are making an update to all copyright  | docs: Update Readme, don't mention Electron < 2 (#27535)  * chore: Update Readme, don't mention Electron < 2  * chore: A"
erpnext,6,2,4,0.3333,0.6667,issue_number(2),ci: update badge in README and add push event trigger (#24911) | docs: README build status badge (#23933)  * fixed build status badge  * changed build branch from `master` to `develop` 
etcd,16,3,13,0.1875,0.8125,"issue_number(2), github_issue_url(1), fixes_issue(1)",Rename master to main in README and other *.md files (#12977) | Update go for 3.5: 1.15 -> 1.16.(3).  https://github.com/etcd-io/etcd/issues/12732 | doc: fix branch management link  Fixes #12875
express,5,4,1,0.8,0.2,"closes_issue(4), issue_number(4), fix_with_error_term(1)",docs: update grammar in readme  closes #4376 | docs: fix Code of Conduct link in Contributing  closes #4351 | docs: fix typo in history  closes #4286 closes #4327
flask,12,3,9,0.25,0.75,issue_number(3),"Add update pip and setuptools section (#4061)  * Add update pip and setuptools section  * Simplify the command to upgrad | Add command switch tabs for Bash, CMD and Powershell with sphinx-tabs (#3714)  * Enable Sphinx extension sphinx-tabs  *  | update code-block typo (#3642)"
flink,5,2,3,0.4,0.6,"closes_issue(2), issue_number(2)",[FLINK-20906][legal] Update copyright year to 2021 for NOTICE files.  This closes #14598 | [FLINK-20832][docs] Deliver bootstrap css and js ourselves  This closes #14583
flutter,29,29,0,1.0,0.0,"issue_number(29), fix_with_error_term(5), fixes_issue(1)",Add cold boot option to emulator launch command (#82647) | Fix problem with right-clicking on a right-to-left selection (#80186) | Fix typo in scroll_activity.dart (#79771)
framework,5,3,2,0.6,0.4,issue_number(3),Consolidate CHANGELOG.md for 9.x (#35943) | [8.x] Update the badges to use shields.io (#34679)  Shields.io works a lot better than the old pugx.org. | Fix the link to the Laravel logo in the README (#34182)
go,13,9,4,0.6923,0.3077,"issue_number(9), fixes_issue(2)",A+C: add Weixie Cui (individual CLA)  Change-Id: I897864984bd4b79f2e224ea1a7f323e0bd5e2ef0 GitHub-Last-Rev: b85415541d12 | README: pull gopher image from website  Fixes breakage accidentally introduced by https://golang.org/cl/291711.  Fixes # | doc: remove install.html and install-source.html  These live in x/website/content/doc now. The copies here just attract 
go-ethereum,9,9,0,1.0,0.0,issue_number(9),"README.md: update commands table, add note about web3.js version (#22748) | cmd/utils: remove deprecated command line flags (#22263)  This removes support for all deprecated flags except --rpc*. | SECURITY.md: link to release page (#22067)  Add links to go-ethereum's GitHub release page.  Co-authored-by: Felix Lange"
godot,25,3,22,0.12,0.88,"github_issue_url(2), closes_issue(1), issue_number(1)",Document contributing tests to Godot's C++ codebase  This partially addresses https://github.com/godotengine/godot-propo | Mention compatibility-breaking Camera2D offset change in the changelog  See https://github.com/godotengine/godot/issues/ | Remove community health files from this repository  They've been moved to the @godotengine organization's .github reposi
grafana,102,93,9,0.9118,0.0882,"issue_number(93), fix_with_error_term(2), fixes_issue(1)",ReleaseNotes: Updated changelog and release notes for 8.0.0-beta2 (#34481) | ReleaseNotes: Updated changelog and release notes for 7.5.7 (#34383)  * ReleaseNotes: Updated changelog and release note | ReleaseNotes: Updated changelog and release notes for 8.0.0-beta1 (#34042)  * ReleaseNotes: Updated changelog and releas
grpc,55,13,42,0.2364,0.7636,"issue_number(12), revert(1)",To donnadionne (#26295) | Repomrg -> nicolasnoble (#26140) | Change repo manager to drfloob. (#26005)
guava,8,1,7,0.125,0.875,"fixes_issue(1), issue_number(1)",Fix typos and remove unnecessary words.  Fixes #4012  RELNOTES=n/a  ------------- Created by MOE: https://github.com/goo
homebrew-cask,17,17,0,1.0,0.0,"issue_number(17), fix_with_error_term(2)","Removed reference from README.md to deleted file hacking.md. (#106298)  In Feb this year @vitorgalvao removed file ""hack | Doc: Change reference to docs.brew.sh (#105726)  * Fix link  Co-authored-by: Sean Molenaar <SMillerDev@users.noreply.git | Fix links (#105716)"
html5-boilerplate,12,6,6,0.5,0.5,"fix_with_error_term(3), issue_number(3), closes_issue(1)",Fix URL typo in README.md | Jquery refs (#2348)  * Removes some stray references to jQuery | Renames main.js to app.js (#2341)  * Renames main.js to app.js  closes #2340
imgui,2,1,1,0.5,0.5,issue_number(1),"Added links to Discussions. Closed Discord, yeah! (#2748)"
ionic-framework,43,5,38,0.1163,0.8837,"issue_number(4), fix_with_error_term(1)",chore(): update code of conduct (#22619)  Co-authored-by: Brandy Carney <brandyscarney@users.noreply.github.com> | chore(): add note on 5.5.1 upgrading (#22578) | chore(): fix vue readme path (#22433)  Co-authored-by: svennergr < svennergr@users.noreply.github.com>
java-design-patterns,193,150,43,0.7772,0.2228,"issue_number(150), fixes_issue(1)",docs: add tao-sun2 as a contributor (#1757)  * docs: update README.md [skip ci]  * docs: update .all-contributorsrc [ski | docs: add EdisonE3 as a contributor (#1751)  * docs: update README.md [skip ci]  * docs: update .all-contributorsrc [ski | docs: Correcting the URL to fix #1747 (#1748)  * Correcting the Hyperlink to redirect to the correct URL. Corresponds to
jekyll,156,146,10,0.9359,0.0641,"issue_number(144), revert(2)",Update history to reflect merge of #8681 [ci skip] | Update history to reflect merge of #8680 [ci skip] | Update history to reflect merge of #8478 [ci skip]
jenkins,10,7,3,0.7,0.3,"issue_number(6), fix_with_error_term(1)",Add www to jenkins.io URLs (#5517)  Co-authored-by: Daniel Beck <daniel-beck@users.noreply.github.com> | Ensure there are no unused imports with Spotless rather than Checkstyle (#5457) | Added small part with tips for IntelliJ settings to the Contrubuting.md (#5148)  * added small part with tips for Intell
jquery,2,0,2,0.0,1.0,,
juice-shop,30,4,26,0.1333,0.8667,"issue_number(2), revert(1), fixes_issue(1)","Revert ""Include Node.js 16.x in supported version range""  This reverts commit 667ae349 | Switch to new edition for Goodreads reviews  (fixes #1583) | Clarify location of the security.txt in the app  (obsoletes #1549)"
kafka,17,17,0,1.0,0.0,"issue_number(17), github_issue_url(1)","MINOR: Update jacoco to 0.8.7 for JDK 16 support (#10654)  Details: * https://github.com/jacoco/jacoco/releases/tag/v0.8 | KAFKA-12602: Fix LICENSE file (#10474)  Fixes the LICENSE files that we ship with our releases: * the source-distributio | KAFKA-12593: Fix Apache License headers (#10452)  * Standardize license headers in scala, python, and gradle files. * Re"
kubernetes,7,1,6,0.1429,0.8571,fix_with_error_term(1),fix Contributor License Agreement broken link
laravel,43,1,42,0.0233,0.9767,issue_number(1),[8.x] Update the badges to use shields.io (#5441)  * Update the badges to use shields.io  Shields.io works a lot better 
material-ui,115,87,28,0.7565,0.2435,"issue_number(87), fix_with_error_term(2)",[docs] Clarify migration from Hidden (#26348) | v5.0.0-alpha.34 (#26352) | v5.0.0-alpha.33 (#26194)
metasploit-framework,18,1,17,0.0556,0.9444,fix_with_error_term(1),Fix typo in email address
minimal-mistakes,84,22,62,0.2619,0.7381,"issue_number(19), fix_with_error_term(6), closes_issue(5)",FIx menu toggle  ref: #2957 | Fix Jekyll environment note in configuration documentation  Close #2912 | Fix typo
moby,5,0,5,0.0,1.0,,
mybatis-3,1,0,1,0.0,1.0,,
netty,19,7,12,0.3684,0.6316,"issue_number(7), fix_with_error_term(1), fixes_issue(1)",Allow to use KeyManagerFactory / TrustmanagerFactory (#141) | Fix url in README.md (#10915)  Motivation:  We had a typo in the markdown  Modification:  Fix typo  Result:  Corect mark | Update examples to be easier to understand (#91)  Motivation:  Our examples should be easy to understand for new users. 
nixpkgs,13,2,11,0.1538,0.8462,"issue_number(1), github_pr_url(1)","pull request template: cleanup (#117537)  Remove elements of the PR template that have a low signal/noise ratio, and add | README: include link to nixos-hardware  related to https://github.com/NixOS/rfcs/pull/70"
node,178,178,0,1.0,0.0,"github_pr_url(178), github_issue_url(23), issue_number(9)","2021-05-19, Version 16.2.0 (Current)  Notable changes:  async_hooks:   * (SEMVER-MINOR) use new v8::Context PromiseHook  | doc: update contact info  Signed-off-by: Gabriel Schulhof <gabrielschulhof@gmail.com> PR-URL: https://github.com/nodejs/ | build,src,test,doc: enable FIPS for OpenSSL 3.0  This commit enables FIPS when Node.js is dynamically linking against qu"
numpy,28,4,24,0.1429,0.8571,"issue_number(4), references_issue(1)","DOC: Fewer blank lines in PR template  Reduce the need to scroll, per @mattip suggestion in #17440 | DOC: update code of conduct URL  As title.  Closes: #17458 | DOC: Fix indents in PE #17440"
ohmyzsh,16,6,10,0.375,0.625,"issue_number(6), fix_with_error_term(2), fixes_issue(1)","chore: fix ""Facebook"" typo in README.md (#9378) | Add gitpod integration  Fixes #8212  Co-authored-by: Sean Hellum <seanhellum45@gmail.com> | docs: fix small typo in README (#9255)"
opencv,7,2,5,0.2857,0.7143,"fix_with_error_term(1), issue_number(1)",ISSUE_TEMPLATE: fix typo | Merge pull request #18073 from vpisarev:apache2_license  changed OpenCV license from BSD to Apache 2 license  * as discu
openssl,16,16,0,1.0,0.0,"github_pr_url(16), issue_number(4), fixes_issue(3)","Unify the markdown links to the NOTES and README files  In many locations, the files have been converted to markdown syn | Revise some renamings of NOTES and README files  Some of the notes and readme files have been converted to markdown form | Add some missing committers to the AUTHORS list  Fixes #13815  Reviewed-by: Richard Levitte <levitte@openssl.org> Review"
pandas,13,13,0,1.0,0.0,"issue_number(13), revert(1)",Update license year (#41087) | DOC: remove references to dev.pandas.io (#39377) | Updated PULL_REQUEST_TEMPLATE.md (#38696)
pdf.js,6,0,6,0.0,1.0,,
protobuf,9,3,6,0.3333,0.6667,issue_number(3),"Remove build badges, they were consistently out of date and not very useful. (#8634) | Update kokoro badge bucket to protobuf-kokoro-badges (#8138) | Port for php8 (#8105)  * Port for php8  * Port php c extension for php8  * Update composer.json  * Drop php7.0 support  "
qmk_firmware,7,3,4,0.4286,0.5714,"issue_number(2), revert(1)","2021 February 27 Breaking Changes Changelog (#11975)  * restore main readme.md  * add ChangeLog entry for 2021-02-27 dev | Revert ""Branch point for 2020 Aug 29 Breaking Change""  This reverts commit 7259126e8d67e83a9bd48dcf0914be1849d638b5. | Add PR checklist document. (#9913)  * Add PR checklist document.  * Update docs/pr_checklist.md  Co-authored-by: James Y"
rails,5,0,5,0.0,1.0,,
react,15,9,6,0.6,0.4,"issue_number(9), github_pr_url(1), fix_with_error_term(1)","Update code of conduct (#21251)  We are updating our code of conduct to include activities outside the project.  https:/ | Remove my deadname from AUTHORS (#21152) | React 17.0.2 Changelog (#21052)  ## 17.0.2 (March 22, 2020)  ### React DOM  * Remove an unused dependency to address the"
react-native,7,6,1,0.8571,0.1429,"issue_number(6), github_pr_url(6), fix_with_error_term(2)",Update CONTRIBUTING.md (#31590)  Summary: Add more detail about requesting review in the contribution guide. In the GAAD | Fix reactiflux url (#30709)  Summary: On support page [https://github.com/facebook/react-native/blob/master/.github/SUPP | switch Readme version badge source to shields.io (#30411)  Summary: Lately there are some loading issues for the `fury.i
react-router,2,1,1,0.5,0.5,issue_number(1),[v6] Fix 'getting started' link (#7580)
redis,16,12,4,0.75,0.25,"issue_number(12), fix_with_error_term(2), fixes_issue(1)",Moved security bugs and vulnerability policy to SECURITY.md (#8938)  Moved security bugs and vulnerability policy to SEC | Changes http to https in README.md (#8843) | Update README.md (#3543)  prettify
reveal.js,1,0,1,0.0,1.0,,
rust,463,42,421,0.0907,0.9093,"issue_number(25), fix_with_error_term(12), fixes_issue(11)",Add x.py pre-setup instructions  This change adds pre-setup instructions that outline how x.py requires python to be set | fix typo in README | Fix patch note about #80653 not mentioning nested nor recursive  Which thus missed the point of the change: `rustdoc` al
scikit-learn,16,16,0,1.0,0.0,issue_number(16),DOC Update minimal versions for dependencies (#20143) | MNT Update license year to 2021 (#20126) | MAINT Python 3.9 in badge on README.rst (#19702)
scrapy,6,3,3,0.5,0.5,issue_number(3),Migrate CI to GitHub actions (#4924) | Update Python version references after dropping support for 3.5 (#4742)  * Update Python version references after droppi | Bump minimum Python version to 3.5.2 (#4615)
shadowsocks-android,3,2,1,0.6667,0.3333,"issue_number(2), fixes_issue(1)",Switch to local UDP DNS resolver (#2635)  * Switch to the local UDP DNS resolver  * Update shadowsocks-rust  * Revert th | Update shadowsocks-rust to 1.9.0 (#2622)
shadowsocks-windows,3,0,3,0.0,1.0,,
socket.io,155,22,133,0.1419,0.8581,"issue_number(13), github_issue_url(8), fix_with_error_term(4)","docs: clarify the upgrade mechanism  Related: https://github.com/socketio/engine.io-protocol/issues/37 | feat: add the ""closeOnBeforeunload"" option  Since [1], the socket is now closed when receiving the ""beforeunload"" event  | feat: add the ""initial_headers"" and ""headers"" events  Those events will be emitted before the response headers are writt"
spark,5,5,0,1.0,0.0,"closes_issue(5), issue_number(5), github_issue_url(1)",[SPARK-35140][INFRA] Add error message guidelines to PR template  ### What changes were proposed in this pull request?   | [MINOR][DOCS] Fix Jenkins job badge image and link in README.md  ### What changes were proposed in this pull request?  T | [SPARK-32435][PYTHON] Remove heapq3 port from Python 3  ### What changes were proposed in this pull request?  This PR re
spring-boot,26,3,23,0.1154,0.8846,fix_with_error_term(3),Fix minor typo in pull request template  See gh-24967 | Fix typo  See gh-23602 | Fix dead link url and name of the STS download link  See gh-22274
spring-framework,5,1,4,0.2,0.8,github_pr_url(1),Add Revved up by Gradle Enterprise badge to Readme  Similar to: https://github.com/spring-projects/spring-boot/pull/2464
symfony,38,0,38,0.0,1.0,,
terraform,187,8,179,0.0428,0.9572,"issue_number(7), fix_with_error_term(1)",update to match new default branch name (#27909) | Update changelog for #26561 | Update changelog for #26721
three.js,30,4,26,0.1333,0.8667,"issue_number(2), fix_with_error_term(1), github_pr_url(1)","Remove modularize script (#21587) | fixed typo | Update CONTRIBUTING.md  This PR clarifies the update of documentation pages, see https://github.com/mrdoob/three.js/pull"
vscode,18,6,12,0.3333,0.6667,"issue_number(5), fixes_issue(1), revert(1)",Include community in README.md (#119105) | main rename  fixes #116341 | PR template - remove pull requests link full stop (#115090)
youtube-dl,98,7,91,0.0714,0.9286,"issue_number(7), closes_issue(2)",Credit @adrianheine for #27732 | Introduce --output-na-placeholder (closes #27896) | [YoutubeDL] Allow format filtering using audio language(#16209)
zxing,1,0,1,0.0,1.0,,
